      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.4000   3.6466E+02       0.20074049       0.03257175
      3.4050   3.6412E+02       0.19491244       0.03087609
      3.4100   3.6359E+02       0.19067213       0.02944213
      3.4150   3.6306E+02       0.18829141       0.02857475
      3.4200   3.6253E+02       0.18745962       0.02820959
      3.4250   3.6200E+02       0.18763294       0.02817272
      3.4300   3.6147E+02       0.18854885       0.02849981
      3.4350   3.6094E+02       0.19033297       0.02940377
      3.4400   3.6042E+02       0.19320454       0.03102402
      3.4450   3.5990E+02       0.19714369       0.03329459
      3.4500   3.5937E+02       0.20182106       0.03607335
      3.4550   3.5885E+02       0.20670073       0.03925035
      3.4600   3.5834E+02       0.21103951       0.04257391
      3.4650   3.5782E+02       0.21379282       0.04545076
      3.4700   3.5730E+02       0.21372891       0.04709782
      3.4750   3.5679E+02       0.20996252       0.04697948
      3.4800   3.5628E+02       0.20262378       0.04519935
      3.4850   3.5577E+02       0.19300901       0.04258706
      3.4900   3.5526E+02       0.18285492       0.04028674
      3.4950   3.5475E+02       0.17322047       0.03898209
      3.5000   3.5424E+02       0.16395575       0.03835961
      3.5050   3.5374E+02       0.15417631       0.03739489
      3.5100   3.5323E+02       0.14324779       0.03524895
      3.5150   3.5273E+02       0.13143167       0.03191357
      3.5200   3.5223E+02       0.11971771       0.02805959
      3.5250   3.5173E+02       0.10916446       0.02446242
      3.5300   3.5123E+02       0.10041908       0.02163106
      3.5350   3.5073E+02       0.09369647       0.01979892
      3.5400   3.5024E+02       0.08896677       0.01906927
      3.5450   3.4974E+02       0.08601518       0.01941663
      3.5500   3.4925E+02       0.08438123       0.02053606
      3.5550   3.4876E+02       0.08336711       0.02180764
      3.5600   3.4827E+02       0.08223580       0.02254823
      3.5650   3.4778E+02       0.08059006       0.02248565
      3.5700   3.4729E+02       0.07858991       0.02200903
      3.5750   3.4681E+02       0.07673740       0.02186187
      3.5800   3.4632E+02       0.07554727       0.02266573
      3.5850   3.4584E+02       0.07536596       0.02469565
      3.5900   3.4536E+02       0.07622422       0.02785438
      3.5950   3.4488E+02       0.07772372       0.03171742
      3.6000   3.4440E+02       0.07906871       0.03554434
      3.6050   3.4392E+02       0.07920044       0.03823723
      3.6100   3.4345E+02       0.07715806       0.03865788
      3.6150   3.4297E+02       0.07276095       0.03644974
      3.6200   3.4250E+02       0.06685179       0.03240065
      3.6250   3.4203E+02       0.06060385       0.02777974
      3.6300   3.4155E+02       0.05474728       0.02351421
      3.6350   3.4108E+02       0.04943928       0.01992884
      3.6400   3.4062E+02       0.04459213       0.01694933
      3.6450   3.4015E+02       0.04019682       0.01443907
      3.6500   3.3968E+02       0.03637178       0.01236705
      3.6550   3.3922E+02       0.03323882       0.01076943
      3.6600   3.3875E+02       0.03084422       0.00968646
      3.6650   3.3829E+02       0.02916729       0.00915115
      3.6700   3.3783E+02       0.02816003       0.00919403
      3.6750   3.3737E+02       0.02778111       0.00983804
      3.6800   3.3691E+02       0.02800779       0.01108539
      3.6850   3.3646E+02       0.02880547       0.01288937
      3.6900   3.3600E+02       0.03004157       0.01508836
      3.6950   3.3555E+02       0.03136522       0.01730576
      3.7000   3.3509E+02       0.03216296       0.01891958
      3.7050   3.3464E+02       0.03178786       0.01929547
      3.7100   3.3419E+02       0.03002002       0.01823665
      3.7150   3.3374E+02       0.02724867       0.01614738
      3.7200   3.3329E+02       0.02412738       0.01367837
      3.7250   3.3284E+02       0.02116140       0.01132091
      3.7300   3.3240E+02       0.01858835       0.00929978
      3.7350   3.3195E+02       0.01645649       0.00765751
      3.7400   3.3151E+02       0.01472609       0.00635478
      3.7450   3.3107E+02       0.01333190       0.00532984
      3.7500   3.3062E+02       0.01221044       0.00452401
      3.7550   3.3018E+02       0.01130774       0.00388961
      3.7600   3.2975E+02       0.01057761       0.00339019
      3.7650   3.2931E+02       0.00997579       0.00299695
      3.7700   3.2887E+02       0.00945537       0.00268302
      3.7750   3.2843E+02       0.00897189       0.00242069
      3.7800   3.2800E+02       0.00849955       0.00218768
      3.7850   3.2757E+02       0.00804087       0.00197581
      3.7900   3.2714E+02       0.00761461       0.00178806
      3.7950   3.2670E+02       0.00723666       0.00162890
      3.8000   3.2627E+02       0.00691131       0.00149948
      3.8050   3.2585E+02       0.00663080       0.00139705
      3.8100   3.2542E+02       0.00637724       0.00131420
      3.8150   3.2499E+02       0.00612802       0.00123893
      3.8200   3.2457E+02       0.00586754       0.00116054
      3.8250   3.2414E+02       0.00559665       0.00107719
      3.8300   3.2372E+02       0.00532813       0.00099475
      3.8350   3.2330E+02       0.00507466       0.00091928
      3.8400   3.2288E+02       0.00484264       0.00085326
      3.8450   3.2246E+02       0.00463294       0.00079634
      3.8500   3.2204E+02       0.00444366       0.00074707
      3.8550   3.2162E+02       0.00427206       0.00070397
      3.8600   3.2120E+02       0.00411546       0.00066579
      3.8650   3.2079E+02       0.00397158       0.00063160
      3.8700   3.2037E+02       0.00383854       0.00060069
      3.8750   3.1996E+02       0.00371482       0.00057254
      3.8800   3.1955E+02       0.00359921       0.00054674
      3.8850   3.1914E+02       0.00349073       0.00052297
      3.8900   3.1873E+02       0.00338858       0.00050099
      3.8950   3.1832E+02       0.00329209       0.00048058
      3.9000   3.1791E+02       0.00320070       0.00046157
      3.9050   3.1750E+02       0.00311395       0.00044383
      3.9100   3.1710E+02       0.00303143       0.00042721
      3.9150   3.1669E+02       0.00295278       0.00041163
      3.9200   3.1629E+02       0.00287771       0.00039698
      3.9250   3.1588E+02       0.00280595       0.00038318
      3.9300   3.1548E+02       0.00273725       0.00037017
      3.9350   3.1508E+02       0.00267141       0.00035787
      3.9400   3.1468E+02       0.00260825       0.00034624
      3.9450   3.1428E+02       0.00254758       0.00033522
      3.9500   3.1388E+02       0.00248926       0.00032476
      3.9550   3.1349E+02       0.00243314       0.00031482
      3.9600   3.1309E+02       0.00237909       0.00030538
      3.9650   3.1270E+02       0.00232701       0.00029638
